,LIFESTAGE,PREMIUM_CUSTOMER,TOT_SALES
5,NEW FAMILIES,Premium,11491.1
4,NEW FAMILIES,Mainstream,17013.9
3,NEW FAMILIES,Budget,21928.45
0,MIDAGE SINGLES/COUPLES,Budget,35514.8
20,YOUNG SINGLES/COUPLES,Premium,41642.1
2,MIDAGE SINGLES/COUPLES,Premium,58432.65
18,YOUNG SINGLES/COUPLES,Budget,61141.6
8,OLDER FAMILIES,Premium,81958.4
17,YOUNG FAMILIES,Premium,84025.5
1,MIDAGE SINGLES/COUPLES,Mainstream,90803.85
16,YOUNG FAMILIES,Mainstream,92788.75
14,RETIREES,Premium,97646.05
7,OLDER FAMILIES,Mainstream,103445.55
12,RETIREES,Budget,113147.8
11,OLDER SINGLES/COUPLES,Premium,132257.15
10,OLDER SINGLES/COUPLES,Mainstream,133393.8
9,OLDER SINGLES/COUPLES,Budget,136769.8
15,YOUNG FAMILIES,Budget,139345.85
13,RETIREES,Mainstream,155677.05
19,YOUNG SINGLES/COUPLES,Mainstream,157621.6
6,OLDER FAMILIES,Budget,168363.25
